"","date","eventId","selection","home","away","toverByPrice","turnover","APL"
"1127","31/01/2017",4414222,"Arsenal","Arsenal","Watford",26244.5796,21512.68,1.2199586290504
"1128","31/01/2017",4414222,"Draw","Arsenal","Watford",10916.46,1669.08,6.54040549284636
"1129","31/01/2017",4414222,"Watford","Arsenal","Watford",109038.2,7131.54,15.289572799143
"1130","31/10/2016",4414191,"Draw","Stoke","Swansea",83534.069,23254.08,3.59223280387786
"1131","31/10/2016",4414191,"Stoke","Stoke","Swansea",107565.842,52379.68,2.05357959422432
"1132","31/10/2016",4414191,"Swansea","Stoke","Swansea",8329.985,2259.12,3.68726982187755
"1133","31/12/2016",4413909,"Bournemouth","Swansea","Bournemouth",10043.6738,3683.48,2.72668069325746
"1134","31/12/2016",4413909,"Draw","Swansea","Bournemouth",11526.008,3339,3.45193411200958
"1135","31/12/2016",4413909,"Swansea","Swansea","Bournemouth",4771.249,1823.58,2.61641880257515
"1136","31/12/2016",4413973,"Draw","Leicester","West Ham",30343.569,8472.76,3.58130868807803
"1137","31/12/2016",4413973,"Leicester","Leicester","West Ham",12314.91,5866.4,2.09922780580936
"1138","31/12/2016",4413973,"West Ham","Leicester","West Ham",43125.795,11982.96,3.59892672595085
"1139","31/12/2016",4414017,"Chelsea","Chelsea","Stoke",25802.213,20367.86,1.26681020981095
"1140","31/12/2016",4414017,"Draw","Chelsea","Stoke",3783.346,648.38,5.83507511027484
"1141","31/12/2016",4414017,"Stoke","Chelsea","Stoke",59107.37,4078.56,14.4922153897454
"1142","31/12/2016",4414095,"Draw","Liverpool","Manchester City",285254.756,80718.74,3.53393469719671
"1143","31/12/2016",4414095,"Liverpool","Liverpool","Manchester City",954392.2066,385921.86,2.47301929618602
"1144","31/12/2016",4414095,"Manchester City","Liverpool","Manchester City",303417.7844,102803.28,2.95144069722289
"1145","31/12/2016",4414112,"Burnley","Burnley","Sunderland",11473.1746,4717.98,2.43179805764331
"1146","31/12/2016",4414112,"Draw","Burnley","Sunderland",32718.946,9935.42,3.29316183915728
"1147","31/12/2016",4414112,"Sunderland","Burnley","Sunderland",4017.704,1228.86,3.2694562439985
"1148","31/12/2016",4414190,"Draw","Manchester Utd","Middlesbrough",4071.409,748.76,5.43753539184786
"1149","31/12/2016",4414190,"Manchester Utd","Manchester Utd","Middlesbrough",38449.8424,30263.26,1.27051224488043
"1150","31/12/2016",4414190,"Middlesbrough","Manchester Utd","Middlesbrough",37372.13,2685.74,13.9150215583042
"1151","31/12/2016",4414199,"Draw","Southampton","West Brom",13901.022,3798.44,3.65966607344068
"1152","31/12/2016",4414199,"Southampton","Southampton","West Brom",73641.4276,42889.02,1.71702285573324
"1153","31/12/2016",4414199,"West Brom","Southampton","West Brom",23755.08,4310.42,5.51108244672213
